name,	ring,	quadrant,	isNew,	description
Kubernetes, adopt, platforms, FALSE, "Kubernetes is an open-source system for automating deployment, scaling, and management of containerized applications."
Prometheus, adopt, observability, FALSE, "Prometheus is an open-source systems monitoring and alerting toolkit originally built at SoundCloud."
Grafana, adopt, observability, FALSE, "Grafana is an open-source visualization and analytics software. It allows you to query, visualize, alert on, and explore your metrics no matter where they are stored."
Grafana Tempo, adopt, observability, FALSE, "Grafana Tempo is an open-source, high-scale, high-availability distributed tracing system."
